rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
1.0,1.0,00:51:24.800,77120.0,B,1.0,發長球,,,B2,171.0,230.0,2.0,,,0,0,,B4,265.0,927.0,1.0,,,,,,,,,,50.0,30.0,40.0,30.0,13.75,63.24999999999999,64.72731262766901,9.0,63.24999999999999,63.887107463086785,,9.0,,,,,,,,
1.0,2.0,00:51:26.800,77170.0,A,,長球,,,B4,265.0,927.0,1.0,,,0,0,,A4,335.0,53.0,1.0,,,,,,,,,,70.0,10.0,0.0,0.0,0.75,57.75,57.75486992453537,25.0,15.0,29.1547594742265,,1017.8295535108027,,,,,,,,
1.0,3.0,00:51:27.800,77195.0,B,,殺球,1.0,,A4,335.0,53.0,1.0,,,0,0,,B3,382.0,757.0,2.0,,,,,,,,,,60.0,0.0,60.0,20.0,43.5,57.49999999999999,72.10062413044703,21.0,28.000000000000004,35.0,,10.0,,,,,,,,
1.0,4.0,00:51:28.320,77208.0,A,,擋小球,,,B3,382.0,757.0,2.0,,,0,0,,A2,337.0,327.0,1.0,,,,,,,,,,60.0,10.0,70.0,40.0,31.0,24.75,39.66815473399286,83.25,46.0,95.11341913736463,,726.2155327449283,,,,,,,,
1.0,5.0,00:51:29.080,77227.0,B,,撲球,1.0,,A2,337.0,327.0,1.0,,,0,0,,A3,81.0,847.0,2.0,,,,,,,,,,30.0,20.0,10.0,20.0,24.25,4.5,24.663991972103787,24.75,9.5,26.510611083111606,,154.67385040788247,,,,,,,,
1.0,6.0,00:51:29.720,77243.0,A,,未擊球,,,A3,81.0,847.0,2.0,落地,撲球得分,0,1,B,,,,,,,,,,,,,,80.0,30.0,70.0,40.0,25.5,40.75,48.070911162573154,36.75,224.00000000000003,226.99463099377482,,1021.7401822381265,,,,,,,,
2.0,1.0,00:51:44.680,77617.0,B,1.0,發長球,,,B2,206.0,258.0,2.0,,,0,1,,A4,73.0,926.0,1.0,,,,,,,,,,0.0,70.0,10.0,20.0,12.5,1.7500000000000002,12.621905561364338,54.75,12.0,56.049643174600135,,169.2572007330855,,,,,,,,
2.0,2.0,00:51:46.720,77668.0,A,,切球,1.0,,A4,73.0,926.0,1.0,,,0,1,,A2,345.0,310.0,2.0,,,,,,,,,,30.0,30.0,30.0,80.0,14.249999999999998,1.7500000000000002,14.35705401536123,53.24999999999999,42.0,67.82007446176979,,96.56603957913983,,,,,,,,
2.0,3.0,00:51:47.640,77691.0,B,,挑球,,1.0,A2,345.0,310.0,2.0,,,0,1,,B3,276.0,847.0,1.0,,,,,,,,,,10.0,60.0,80.0,60.0,2.75,24.0,24.157038311846094,10.5,9.0,13.82931668593933,,961.9033215453619,,,,,,,,
2.0,4.0,00:51:48.760,77719.0,A,,殺球,,,B3,276.0,847.0,1.0,,,0,1,,A3,346.0,153.0,2.0,,,,,,,,,,60.0,90.0,0.0,50.0,89.0,142.75,168.22176583308118,55.0,68.75,88.04295826470167,,179.53551180755298,,,,,,,,
2.0,5.0,00:51:49.200,77730.0,B,,擋小球,,1.0,A3,346.0,153.0,2.0,,,0,1,,F2,451.0,679.0,2.0,,,,,,,,,,30.0,50.0,60.0,20.0,38.25,36.25,52.69843451185244,8.5,37.0,37.963798545456434,,918.252688534044,,,,,,,,
2.0,6.0,00:51:50.520,77763.0,B,,未過網,,,F2,451.0,679.0,2.0,未回擊成功,殺球得分,1,1,A,,,,,,,,,,,,,,50.0,20.0,50.0,70.0,76.25,63.0,98.90936507732724,46.25,19.25,50.09615753728024,,1081.449490267576,,,,,,,,
3.0,1.0,00:52:05.360,78134.0,A,1.0,發長球,,,B2,222.0,688.0,2.0,,,1,1,,B2,222.0,688.0,1.0,,,,,,,,,,60.0,60.0,80.0,70.0,43.5,14.000000000000002,45.69737410398983,10.5,23.25,25.511027027542422,,138.31124321616085,,,,,,,,
3.0,2.0,00:52:07.520,78188.0,B,,切球,1.0,,A4,257.0,33.0,1.0,,,1,1,,A1,88.0,602.0,2.0,,,,,,,,,,60.0,90.0,0.0,80.0,56.49999999999999,89.75,106.05334742477486,25.0,49.5,55.45493666031906,,1017.9950883967957,,,,,,,,
3.0,3.0,00:52:08.320,78208.0,A,,挑球,,1.0,A1,88.0,602.0,2.0,,,1,1,,D4,31.0,40.0,2.0,,,,,,,,,,70.0,30.0,30.0,80.0,11.749999999999998,25.75,28.304151638938055,21.75,49.5,54.06766593815567,,188.1116689628796,,,,,,,,
3.0,4.0,00:52:09.680,78242.0,B,,未擊球,,,D4,31.0,40.0,2.0,落地,對方失誤,2,1,A,,,,,,,,,,,,,,90.0,60.0,40.0,70.0,50.24999999999999,98.5,110.5771789294699,54.0,58.25,79.42960720033808,,1023.8945258179673,,,,,,,,
4.0,1.0,00:52:24.960,78624.0,A,1.0,發長球,,,B2,226.0,693.0,2.0,,,2,1,,B4,80.0,6.0,1.0,,,,,,,,,,60.0,90.0,30.0,20.0,11.0,15.25,18.803257696473768,13.25,54.5,56.08754318028202,,51.0,,,,,,,,
